STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-09-30,12.08,0.22,60,68,56,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-01,10.51,0.00,66,77,59,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-02,8.05,0.00,69,78,61,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-03,5.82,0.00,65,75,56,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-04,6.04,0.00,69,78,61,,1,,,,,,1
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-05,6.04,0.00,66,74,57,,1,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-06,8.05,0.00,67,72,64,,1,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-07,12.75,1.88,65,67,54,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-08,18.12,0.00,56,61,50,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-09,13.42,0.00,55,62,49,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2023-10-10,6.71,0.00,57,64,51,,,,,,,,
